Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Top Gun: Maverick,"$1,488,732,821","$718,732,821",48.3%,"$770,000,000",51.7%
2,Jurassic World: Dominion,"$1,001,136,080","$376,009,080",37.6%,"$625,127,000",62.4%
3,Doctor Strange in the Multiverse of Madness,"$955,775,804","$411,331,607",43%,"$544,444,197",57%
4,Minions: The Rise of Gru,"$939,433,210","$369,500,210",39.3%,"$569,933,000",60.7%
5,Black Panther: Wakanda Forever,"$787,135,551","$418,938,028",53.2%,"$368,197,523",46.8%
6,The Batman,"$770,836,163","$369,345,583",47.9%,"$401,490,580",52.1%
7,Thor: Love and Thunder,"$760,928,081","$343,256,830",45.1%,"$417,671,251",54.9%
8,Water Gate Bridge,"$626,571,697","$117,294",<0.1%,"$626,454,403",100%
9,Moon Man,"$460,237,662",-,-,"$460,237,662",100%
10,Avatar: The Way of Water,"$441,703,887","$134,100,226",30.4%,"$307,603,661",69.6%
11,Fantastic Beasts: The Secrets of Dumbledore,"$405,161,334","$95,850,844",23.7%,"$309,310,490",76.3%
12,Sonic the Hedgehog 2,"$402,656,846","$190,872,904",47.4%,"$211,783,942",52.6%
13,Uncharted,"$401,748,820","$148,648,820",37%,"$253,100,000",63%
14,Black Adam,"$391,067,895","$167,667,895",42.9%,"$223,400,000",57.1%
15,Elvis,"$286,040,048","$151,040,048",52.8%,"$135,000,000",47.2%
16,The Bad Guys,"$250,162,278","$97,233,630",38.9%,"$152,928,648",61.1%
17,Bullet Train,"$239,268,602","$103,368,602",43.2%,"$135,900,000",56.8%
18,Lightyear,"$226,425,420","$118,307,188",52.2%,"$108,118,232",47.8%
19,Too Cool to Kill,"$217,254,604","$185,882",<0.1%,"$217,068,722",99.9%
20,Smile,"$216,135,048","$105,935,048",49%,"$110,200,000",51%
21,Nice View,"$211,019,042",-,-,"$211,019,042",100%
22,DC League of Super-Pets,"$203,857,117","$93,657,117",45.9%,"$110,200,000",54.1%
23,The Lost City,"$190,844,029","$105,344,029",55.2%,"$85,500,000",44.8%
24,One Piece Film: Red,"$173,987,861","$12,775,324",7.3%,"$161,212,537",92.7%
25,Nope,"$171,235,592","$123,277,080",72%,"$47,958,512",28%
26,Morbius,"$167,460,961","$73,865,530",44.1%,"$93,595,431",55.9%
27,Ticket to Paradise,"$166,434,086","$67,943,330",40.8%,"$98,490,756",59.2%
28,The Black Phone,"$161,204,742","$89,887,230",55.8%,"$71,317,512",44.2%
29,Where the Crawdads Sing,"$140,230,760","$90,230,760",64.3%,"$50,000,000",35.7%
30,Scream,"$140,041,405","$81,641,405",58.3%,"$58,400,000",41.7%
31,Death on the Nile,"$137,307,235","$45,630,104",33.2%,"$91,677,131",66.8%
32,Halloween Ends,"$104,186,860","$64,079,860",61.5%,"$40,107,000",38.5%
33,Everything Everywhere All at Once,"$103,453,032","$70,008,593",67.7%,"$33,444,439",32.3%
34,RRR,"$102,701,245","$11,113,000",10.8%,"$91,588,245",89.2%
35,The Roundup,"$101,154,047","$812,859",0.8%,"$100,341,188",99.2%
36,The Woman King,"$92,259,608","$67,159,608",72.8%,"$25,100,000",27.2%
37,Downton Abbey: A New Era,"$92,250,174","$43,896,550",47.6%,"$48,353,624",52.4%
